,verdict,text,reject,reject-predicted,PUNISHMENT-predicted,GENERAL_CIRCUM-predicted,CIRCUM_OFFENSE-predicted,CONFESSION-predicted,CONFESSION_LVL2-predicted,CIR_TYPE_WEP-predicted,CIR_PURPOSE-predicted,CIR_PLANNING-predicted,CIR_MONEY_PAID_WEP-predicted,CIR_HELD_WAY_WEP-predicted,REGRET-predicted,RESPO-predicted,CIR_USE-predicted,CIR_STATUS_WEP-predicted,CIR_OBTAIN_WAY_WEP-predicted,CIR_BUYER_ID_WEP-predicted,CIR_AMMU_AMOUNT_WEP-predicted
0,ME-12-05-33444-999_tagged,"ע""י ב""כ עוה""ד אבירי – פמ""מ",,0.9997099912853978,,,,,,,,,,,,,,,,,
1,ME-12-05-33444-999_tagged,"ע""י ב""כ עוה""ד פורר",,0.9996448072317348,,,,,,,,,,,,,,,,,
2,ME-12-05-33444-999_tagged,"חוק העונשין, תשל""ז-1977: סע'  40ד(א), 144(א), 40יא",,0.9996733252099309,,,,,,,,,,,,,,,,,
3,ME-12-05-33444-999_tagged,"ביום 11.5.12 בעיר רחובות, החזיק הנאשם ברכבו את הפריטים הבאים:",,0.9699768527983836,,,,,,,,,,,,,,,,,
4,ME-12-05-33444-999_tagged,"במסגרת הסדר הטיעון, עתרה התביעה להשית על הנאשם עונש מאסר בפועל בן 7 חודשים, מאסר על תנאי וקנס משמעותי.",,0.002213945176900026,0.9992294255123126,5.444728232294986e-08,0.001577581133818105,1.8852810970171647e-05,,,,,,,,,,,,,
5,ME-12-05-33444-999_tagged,"הסנגור היה רשאי לטעון לעונש באורח חופשי ועתר להסתפק בעבודות של""צ.",,0.99939844086162,,,,,,,,,,,,,,,,,
6,ME-12-05-33444-999_tagged,"הוא אישר, כי לא שקל באורח ראוי את האלטרנטיבות הלגיטימיות בהשגת כלי הנשק, מחמת המתח הגבוה בו היה שרוי, לצד אובדן בתו.",,0.00022684812143663278,0.00012241724506579436,0.5653139127241723,0.9972724843721017,1.8693712994597935e-05,,1.2862506859340738e-05,1.5770225404848537e-05,1.3256773144123785e-05,1.3574718936508934e-05,1.382793546778753e-05,,,0.0019405910357340008,0.00026429220716767555,0.0022782636268046477,6.49500603121939e-05,6.49500603121939e-05
7,ME-12-05-33444-999_tagged,"כל אלו דרדרו אותו לצריכת סמים, הגם שבדיקת שתן שמסר ביום 18.12.12 נמצאה נקיה.",,0.0001119041390783895,5.8619438288266055e-05,1.7194243340099712e-07,0.0008814866324283487,1.9085163847290778e-05,,,,,,,,,,,,,
8,ME-12-05-33444-999_tagged,"שירות המבחן המליץ על טיפול פרטני שיסייע לנאשם להבין את המאפיינים האישיותיים שהובילו אותו לביצוע העבירה, חרף הסכנה הנשקפת לו.",,0.0012450620759511192,0.00029072670424740035,0.986784664792276,0.0017005029233900047,1.8597643283663308e-05,,,,,,,,,,,,,
9,ME-12-05-33444-999_tagged,"סופו של יום, המליץ שירות המבחן על השמת הנאשם בפיקוח משך שנה לצד עבודות של""צ בהיקף של 300 שעות על פי תכנית שהוכנה עבורו.",,0.003624707284501312,0.00024895498578016823,0.9929143626737631,0.0011272498742717343,1.8108230740135647e-05,,,,,,,,,,,,,
10,ME-12-05-33444-999_tagged,"דא עקא, קצין המבחן שינה את טעמו, כאשר בסיום התסקיר ציין, כי העונש ההולם שראוי להטיל על הנאשם הוא מאסר שירוצה בעבודות שירות, באמצעותו הנאשם יישא באחריות למצב אליו נקלע והשלכותיו.",,0.9801720132305072,,,,,,,,,,,,,,,,,
11,ME-12-05-33444-999_tagged,"לשיטת ב""כ המאשימה, עוה""ד רעות אבירי, עמדת המאשימה ל- 7 חודשי מאסר הינה עמדה מקלה המגלמת בתוכה את הנסיבות יוצאות הדופן ואין לחרוג ממנה לקולא.",,0.02307403315279087,0.9934609724261355,4.96684082774597e-08,0.001978072040534571,1.8935526910520438e-05,,,,,,,,,,,,,
12,ME-12-05-33444-999_tagged,"ב""כ המאשימה הטעימה את חומרת עבירות הנשק והסיכון הטמון בהן לחיי אדם, אף מקום בו הנשק מוחזק לשם הגנה עצמית.",,0.9997178147852374,,,,,,,,,,,,,,,,,
13,ME-12-05-33444-999_tagged,"כן הטעימה את ההלכה, לפיה בעבירות נשק נסוגות נסיבותיו האישיות של הנאשם מפני עקרונות הגמול והענישה.",,0.9997677184729996,,,,,,,,,,,,,,,,,
